variable	ca	ki	la	mo	tu	ur	vl	ya
PC1	3.4474698728282247	1.2838088938166998	3.4341840540815647	-3.291951713754686	-4.142109756725729	0.44109832955352346	1.0860516598700714	-5.595136321661065
PC2	0.3253186878535667	-1.6197342270014574	-1.2230422942362882	1.4150295075560102	1.6264237052125905	-1.472395091028132	3.402349904862121	-1.4276762251937252
PC3	1.7705537509485654	-1.5268863037742606	0.32566290796730796	2.2301521670416635	0.4439665765852901	-0.2339448960093498	-1.4012647392379844	-0.6080532171825808
PC4	-0.8250972771343935	-0.15650486506018763	-0.4527785108372057	1.1189472695630287	-1.0364503737132726	1.2859032827530261	1.4511568635078747	-0.8279484420762238
PC5	1.1415677822255414	0.22215733710582672	-2.5347058469540173	-0.5415097844068144	0.27172606628385515	0.7590220447169007	-0.3597925617508455	0.07775146789682064
