sample	bio2	bio5	bio6	bio8	bio13	jan_depth	snow_days
c_ll_po_0001	84.2466666666667	231.546666666667	-79.9866666666667	169.36	77.28	6.56350279990524	93.6190476190476
c_ll_po_0002	84.4933333333333	232.286666666667	-79.8933333333333	170	77.68	6.28316220698802	92.8571428571429
c_ll_po_0003	84.3666666666667	232.6	-79.6933333333333	170.233333333333	77.22	6.28349488889751	92.5238095238095
c_ll_po_0011	84.1052631578947	232.085526315789	-79.9605263157895	169.848684210526	76.9802631578947	6.58484748764724	92.4761904761905
c_ll_po_0014	84.5666666666667	232.766666666667	-79.7666666666667	170.413333333333	77.6533333333333	6.19097286267176	93.1428571428571
c_ll_po_0019	84.3125	233.423611111111	-79.2222222222222	170.965277777778	77	6.26535568666628	92.5238095238095
c_ll_po_0105	84	230.679738562092	-80.5424836601307	168.705882352941	77.3986928104575	6.89609392185377	94.2857142857143
c_ll_po_0106	84.3636363636364	230.512987012987	-80.538961038961	168.441558441558	77.8311688311688	6.71153397991345	93.9047619047619
c_ll_po_0150	84.1854304635762	232.927152317881	-79.5960264900662	170.529801324503	76.794701986755	6.4021555743634	92.9523809523809
c_ll_la_0044	66.0764331210191	207.350318471338	-70	125.78980891719701	83	6.843540441643	105.666666666667
c_ll_la_0045	77.601226993865	219.742331288344	-103.104294478528	159.711656441718	82.558282208589	10.5420043424098	125.142857142857
c_ll_la_0047	78.3515151515151	220.066666666667	-106.781818181818	160.733333333333	83.6484848484849	11.5828751511465	128.809523809524
c_ll_la_0048	63.9339622641509	206.235849056604	-70.4528301886792	117.22641509434	78.9245283018868	6.02275544272508	110.952380952381
c_ll_la_0052	63.9	205.64	-69.45	112.91	79.63	5.79500628431983	106.714285714286
c_ll_la_0053	64.8712121212121	207.007575757576	-70.3787878787879	124.439393939394	80.5833333333333	6.5937239411438	108.285714285714
c_ll_la_0054	69.1168831168831	211.805194805195	-93.6233766233766	134	77.974025974026	11.0297517981429	130.714285714286
c_ll_no_0065	74.008	142.916	-172.54	48.652	75.172	49.2954857515098	275
c_ll_no_0075	66.0155440414508	160.777202072539	-83.1554404145078	48.9119170984456	144.761658031088	24.9144393239634	225.761904761905
c_ll_no_0076	67.3837209302326	162.517441860465	-75.0813953488372	63.8255813953488	123.145348837209	14.45833985437	215.333333333333
